# time (s)	h_+ (strain)	h_x (strain)
-1.957381079	2.320566e-23	-2.317873e-22
-1.957320043	2.003433e-23	-2.315355e-22
-1.957259008	1.688000e-23	-2.312427e-22
-1.957197973	1.374305e-23	-2.309094e-22
-1.957136938	1.062387e-23	-2.305362e-22
-1.957075903	7.522842e-24	-2.301235e-22
-1.957014868	4.440325e-24	-2.296718e-22
-1.956953832	1.376676e-24	-2.291817e-22
-1.956892797	-1.667757e-24	-2.286535e-22
-1.956831762	-4.692638e-24	-2.280879e-22
-1.956770727	-7.697639e-24	-2.274853e-22
-1.956709692	-1.068244e-23	-2.268461e-22
-1.956648657	-1.364674e-23	-2.261709e-22
-1.956587621	-1.659022e-23	-2.254602e-22
-1.956526586	-1.951259e-23	-2.247145e-22
-1.956465551	-2.241357e-23	-2.239341e-22
-1.956404516	-2.529288e-23	-2.231197e-22
-1.956343481	-2.815025e-23	-2.222717e-22
-1.956282446	-3.098543e-23	-2.213906e-22
-1.956221411	-3.379815e-23	-2.204768e-22
-1.956160375	-3.658818e-23	-2.195309e-22
-1.956099340	-3.935528e-23	-2.185533e-22
-1.956038305	-4.209922e-23	-2.175444e-22
-1.955977270	-4.481977e-23	-2.165048e-22
-1.955916235	-4.751674e-23	-2.154349e-22
-1.955855200	-5.018990e-23	-2.143353e-22
-1.955794164	-5.283907e-23	-2.132062e-22
-1.955733129	-5.546404e-23	-2.120483e-22
-1.955672094	-5.806463e-23	-2.108619e-22
-1.955611059	-6.064065e-23	-2.096476e-22
-1.955550024	-6.319194e-23	-2.084058e-22
-1.955488989	-6.571832e-23	-2.071369e-22
-1.955427954	-6.821964e-23	-2.058413e-22
-1.955366918	-7.069574e-23	-2.045196e-22
-1.955305883	-7.314647e-23	-2.031722e-22
-1.955244848	-7.557169e-23	-2.017995e-22
-1.955183813	-7.797126e-23	-2.004019e-22
-1.955122778	-8.034507e-23	-1.989799e-22
-1.955061743	-8.269297e-23	-1.975340e-22
-1.955000707	-8.501486e-23	-1.960645e-22
-1.954939672	-8.731063e-23	-1.945719e-22
-1.954878637	-8.958016e-23	-1.930566e-22
-1.954817602	-9.182335e-23	-1.915190e-22
-1.954756567	-9.404010e-23	-1.899596e-22
-1.954695532	-9.623032e-23	-1.883788e-22
-1.954634496	-9.839393e-23	-1.867769e-22
-1.954573461	-1.005308e-22	-1.851545e-22
-1.954512426	-1.026409e-22	-1.835118e-22
-1.954451391	-1.047242e-22	-1.818494e-22
-1.954390356	-1.067805e-22	-1.801676e-22
-1.954329321	-1.088099e-22	-1.784668e-22
-1.954268286	-1.108122e-22	-1.767474e-22
-1.954207250	-1.127874e-22	-1.750098e-22
-1.954146215	-1.147355e-22	-1.732544e-22
-1.954085180	-1.166563e-22	-1.714816e-22
-1.954024145	-1.185499e-22	-1.696918e-22
-1.953963110	-1.204163e-22	-1.678853e-22
-1.953902075	-1.222553e-22	-1.660626e-22
-1.953841039	-1.240670e-22	-1.642240e-22
-1.953780004	-1.258514e-22	-1.623699e-22
-1.953718969	-1.276083e-22	-1.605006e-22
-1.953657934	-1.293379e-22	-1.586165e-22
-1.953596899	-1.310400e-22	-1.567181e-22
-1.953535864	-1.327147e-22	-1.548056e-22
-1.953474829	-1.343619e-22	-1.528794e-22
-1.953413793	-1.359817e-22	-1.509399e-22
-1.953352758	-1.375740e-22	-1.489874e-22
-1.953291723	-1.391389e-22	-1.470223e-22
-1.953230688	-1.406764e-22	-1.450449e-22
-1.953169653	-1.421864e-22	-1.430556e-22
-1.953108618	-1.436689e-22	-1.410547e-22
-1.953047582	-1.451241e-22	-1.390426e-22
-1.952986547	-1.465518e-22	-1.370195e-22
-1.952925512	-1.479522e-22	-1.349859e-22
-1.952864477	-1.493252e-22	-1.329420e-22
-1.952803442	-1.506709e-22	-1.308882e-22
-1.952742407	-1.519893e-22	-1.288248e-22
-1.952681371	-1.532804e-22	-1.267521e-22
-1.952620336	-1.545443e-22	-1.246705e-22
-1.952559301	-1.557810e-22	-1.225802e-22
-1.952498266	-1.569905e-22	-1.204816e-22
-1.952437231	-1.581729e-22	-1.183750e-22
-1.952376196	-1.593282e-22	-1.162607e-22
-1.952315161	-1.604564e-22	-1.141390e-22
-1.952254125	-1.615577e-22	-1.120102e-22
-1.952193090	-1.626320e-22	-1.098746e-22
-1.952132055	-1.636794e-22	-1.077325e-22
-1.952071020	-1.646999e-22	-1.055842e-22
-1.952009985	-1.656937e-22	-1.034300e-22
-1.951948950	-1.666608e-22	-1.012702e-22
-1.951887914	-1.676011e-22	-9.910502e-23
-1.951826879	-1.685149e-22	-9.693482e-23
-1.951765844	-1.694021e-22	-9.475985e-23
-1.951704809	-1.702629e-22	-9.258040e-23
-1.951643774	-1.710972e-22	-9.039672e-23
-1.951582739	-1.719052e-22	-8.820911e-23
-1.951521704	-1.726869e-22	-8.601784e-23
-1.951460668	-1.734424e-22	-8.382316e-23
-1.951399633	-1.741718e-22	-8.162535e-23
-1.951338598	-1.748751e-22	-7.942468e-23
-1.951277563	-1.755524e-22	-7.722141e-23
-1.951216528	-1.762038e-22	-7.501578e-23
-1.951155493	-1.768294e-22	-7.280807e-23
-1.951094457	-1.774292e-22	-7.059853e-23
-1.951033422	-1.780034e-22	-6.838741e-23
-1.950972387	-1.785520e-22	-6.617495e-23
-1.950911352	-1.790750e-22	-6.396140e-23
-1.950850317	-1.795727e-22	-6.174702e-23
-1.950789282	-1.800450e-22	-5.953204e-23
-1.950728246	-1.804921e-22	-5.731670e-23
-1.950667211	-1.809140e-22	-5.510123e-23
-1.950606176	-1.813109e-22	-5.288589e-23
-1.950545141	-1.816828e-22	-5.067088e-23
-1.950484106	-1.820298e-22	-4.845646e-23
-1.950423071	-1.823521e-22	-4.624285e-23
-1.950362036	-1.826496e-22	-4.403027e-23
-1.950301000	-1.829226e-22	-4.181895e-23
-1.950239965	-1.831710e-22	-3.960912e-23
-1.950178930	-1.833950e-22	-3.740100e-23
-1.950117895	-1.835948e-22	-3.519479e-23
-1.950056860	-1.837703e-22	-3.299073e-23
-1.949995825	-1.839217e-22	-3.078903e-23
-1.949934789	-1.840490e-22	-2.858989e-23
-1.949873754	-1.841525e-22	-2.639354e-23
-1.949812719	-1.842322e-22	-2.420017e-23
-1.949751684	-1.842881e-22	-2.201000e-23
-1.949690649	-1.843205e-22	-1.982322e-23
-1.949629614	-1.843293e-22	-1.764004e-23
-1.949568579	-1.843148e-22	-1.546067e-23
-1.949507543	-1.842769e-22	-1.328530e-23
-1.949446508	-1.842159e-22	-1.111412e-23
-1.949385473	-1.841318e-22	-8.947338e-24
-1.949324438	-1.840247e-22	-6.785140e-24
